,id,city_state,name,address,current_opening_hours,business_status,latitude,longitude,weekday_text,viewport,tipologia,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
1635,ChIJhcEHad6ZpgARojM79FnCJVo,Belo Horizonte/MG,Popular Art Center - Cemig,"R. Gonçalves Dias, 1608 - Lourdes, Belo Horizonte",True,OPERATIONAL,-19.9303776,-43.93997,"['Monday: Closed', 'Tuesday: 12:00\u2009–\u20096:30\u202fPM', 'Wednesday: 12:00\u2009–\u20096:30\u202fPM', 'Thursday: 12:00\u2009–\u20096:30\u202fPM', 'Friday: 12:00\u2009–\u20096:30\u202fPM', 'Saturday: 11:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 11:00\u202fAM\u2009–\u20095:00\u202fPM']","{'northeast': {'lat': -19.92911487010728, 'lng': -43.93864192010727}, 'southwest': {'lat': -19.93181452989272, 'lng': -43.94134157989271}}",museu,,12:00 - 18:30,12:00 - 18:30,12:00 - 18:30,12:00 - 18:30,11:00 - 17:00,11:00 - 17:00
1636,ChIJYepXMAKZpgARnZm2eZNKydU,Belo Horizonte/MG,Ponto Cultural CDL,"Av. João Pinheiro, 495 - Boa Viagem, Belo Horizonte",True,OPERATIONAL,-19.9296373,-43.9370455,"['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20094:00\u202fPM', 'Sunday: Closed']","{'northeast': {'lat': -19.92825822010728, 'lng': -43.93581527010728}, 'southwest': {'lat': -19.93095787989272, 'lng': -43.93851492989272}}",museu,,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,10:00 - 16:00,
1637,ChIJOzlj092ZpgAR-mL6VtTxMtY,Belo Horizonte/MG,MM Gerdau – Museum Of Mines And Metal,"Praça da Liberdade, 680 - Funcionários, Belo Horizonte",True,OPERATIONAL,-19.9317,-43.9387322,"['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u200910:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20095:00\u202fPM']","{'northeast': {'lat': -19.93036632010728, 'lng': -43.93731597010728}, 'southwest': {'lat': -19.93306597989272, 'lng': -43.94001562989272}}",museu,,10:00 - 17:00,10:00 - 17:00,10:00 - 22:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00
1638,ChIJVf0wKtyZpgARgAgzFw-EWPQ,Belo Horizonte/MG,UFMG Knowledge Center,"Praça da Liberdade, 700 - Funcionários, Belo Horizonte",True,OPERATIONAL,-19.9319555,-43.93892040000001,"['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20095:00\u202fPM']","{'northeast': {'lat': -19.93059812010728, 'lng': -43.93742982010728}, 'southwest': {'lat': -19.93329777989272, 'lng': -43.94012947989273}}",museu,,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 21:00,10:00 - 17:00
1639,ChIJFYUslXyXpgAR_jXU_fhZPiE,Belo Horizonte/MG,Museu Histórico Abílio Barreto,"Av. Prudente de Morais, 202 - Cidade Jardim, Belo Horizonte",True,OPERATIONAL,-19.9366654,-43.9478462,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']","{'northeast': {'lat': -19.93563512010728, 'lng': -43.94615822010728}, 'southwest': {'lat': -19.93833477989272, 'lng': -43.94885787989272}}",museu,,,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00,10:00 - 18:00
1640,ChIJy-RUBeeZpgAR0DsmEaJ2NeY,Belo Horizonte/MG,Circuito Liberdade,"Av. Bias Fortes, 50 - Lourdes, Belo Horizonte",True,OPERATIONAL,-19.9322696,-43.9389889,"['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 9:00\u202fAM\u2009–\u20095:00\u202fPM']","{'northeast': {'lat': -19.93093852010728, 'lng': -43.93767427010728}, 'southwest': {'lat': -19.93363817989272, 'lng': -43.94037392989272}}",museu,,09:00 - 17:00,09:00 - 17:00,09:00 - 21:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00
1641,ChIJCWtyXfeQpgARS1joQH07c3s,Belo Horizonte/MG,Brazilian Football Museum,"Av. Coronel Oscar Paschoal, s/n - Pampulha, Belo Horizonte",False,OPERATIONAL,-19.8664044,-43.9723631,"['Monday: Closed', 'Tuesday: Closed', 'Wednesday: Closed', 'Thursday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20095:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20094:00\u202fPM']","{'northeast': {'lat': -19.86511927010728, 'lng': -43.97120537010727}, 'southwest': {'lat': -19.86781892989272, 'lng': -43.97390502989271}}",museu,,,,10:00 - 17:00,10:00 - 17:00,10:00 - 17:00,10:00 - 16:00
1642,ChIJj4KtRdmZpgARj-Ocg_1bn7M,Belo Horizonte/MG,Casa Fiat de Cultura,"Praça da Liberdade, 10 - Funcionários, Belo Horizonte",True,OPERATIONAL,-19.934461,-43.9396996,"['Monday: Closed', 'Tuesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Wednesday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Thursday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Friday: 10:00\u202fAM\u2009–\u20099:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20096:00\u202fPM', 'Sunday: 10:00\u202fAM\u2009–\u20096:00\u202fPM']","{'northeast': {'lat': -19.93306087010728, 'lng': -43.93838117010728}, 'southwest': {'lat': -19.93576052989272, 'lng': -43.94108082989272}}",museu,,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 21:00,10:00 - 18:00,10:00 - 18:00
1643,ChIJ27hcUvzl3JQRdWS4r6k9AO0,Curitiba/PR,Museu da História da Medicina do Paraná,"Praça Rui Barbosa - Centro, Curitiba",True,OPERATIONAL,-25.4367803,-49.2728909,"['Monday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Tuesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20096:00\u202fPM', 'Saturday: 10:00\u202fAM\u2009–\u20092:00\u202fPM', 'Sunday: Closed']","{'northeast': {'lat': -25.43530592010728, 'lng': -49.27160447010728}, 'southwest': {'lat': -25.43800557989272, 'lng': -49.27430412989273}}",museu,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,10:00 - 14:00,
1644,ChIJxa1NTHXk3JQRxY-1cBj3Csc,Curitiba/PR,Museum of Copel Energy,"Rua Desembargador Motta, 2347 - Centro, Curitiba",True,OPERATIONAL,-25.4348869,-49.2833786,"['Monday: Closed', 'Tuesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Wednesday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Thursday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Friday: 9:00\u202fAM\u2009–\u20095:00\u202fPM', 'Saturday: Closed', 'Sunday: Closed']","{'northeast': {'lat': -25.43357732010728, 'lng': -49.28199722010728}, 'southwest': {'lat': -25.43627697989272, 'lng': -49.28469687989273}}",museu,,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,09:00 - 17:00,,
